,reviews_per_month,demand,price,bedrooms,beds,room_type,minimum_nights,review_scores_rating,calculated_host_listings_count,accommodates,price_per_person,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,property_9,amenity_0,amenity_1,amenity_2,amenity_3,amenity_4,amenity_5,amenity_6,amenity_7,amenity_8,amenity_9,amenity_10,amenity_11,amenity_12,amenity_13,amenity_14,amenity_15,amenity_16,amenity_17,amenity_18,amenity_19
3764,0.08,0.6,767.5,5.0,5.0,Entire home/apt,3,100.0,119,10,76.75,0.14946613274397802,-0.4783989670451852,0.021001812520477055,-0.11167565325996451,0.14788565889003863,-0.0011370233140807367,0.2701595230908042,0.14081096286697817,0.08411314873943876,-0.343569921445317,-0.02063994429362022,-0.028607055540764714,-0.33264306890913825,0.6473500474953785,-0.1277556771048091,-0.17450021580696257,-0.17084259121197481,0.06860585431416874,-0.17311918212928593,-0.20421424940339813,-0.07994437637896573,0.10673898072015103,0.06722288758092017,0.2504191257443869,0.1950648556089709,-0.13735635106608465,0.14675621205261577,0.16303268329024845,-0.04900245883380775,-0.06460491437923
3765,0.16,0.4,398.75,3.0,4.0,Entire home/apt,3,100.0,119,6,66.45833333333333,0.14946613274397802,-0.4783989670451852,0.021001812520477055,-0.11167565325996451,0.14788565889003863,-0.0011370233140807367,0.2701595230908042,0.14081096286697817,0.08411314873943876,-0.343569921445317,0.04131297258608032,-0.07057127905614033,-0.3749481588664937,0.657295945643899,-0.042210390213311993,-0.15124863678147885,-0.1363514199285833,0.006144440880089295,-0.2211953999367735,-0.15305109131835498,-0.13358884939894544,0.20532759268262962,-0.0018196725424747717,0.3022476004324643,0.20880926906202682,-0.12545003372624106,0.1113312045190162,0.07935085524428691,-0.11506018027382171,-0.025216861669327097
3766,0.24,0.5083333333333333,448.5,2.0,3.0,Entire home/apt,3,100.0,119,6,74.75,0.14946613274397802,-0.4783989670451852,0.021001812520477055,-0.11167565325996451,0.14788565889003863,-0.0011370233140807367,0.2701595230908042,0.14081096286697817,0.08411314873943876,-0.343569921445317,0.0523581147317056,-0.11144746265494401,-0.4423679791838048,0.5835960215157896,-0.00048720554556118027,0.0680831304224063,-0.14371294001504792,-0.15731615258880247,-0.21850902124661117,-0.043543959713521735,0.05921612782662264,0.1491639316029548,0.10819220253324985,0.33086804733443587,0.1611660263515008,-0.13829497832162255,0.15619307115952683,0.03609065733883775,-0.05546917311457853,-0.07633323308655669
3767,0.29,0.2833333333333333,392.25,2.0,3.0,Entire home/apt,3,70.0,119,6,65.375,-0.43551218934429414,0.7532959910420278,0.3498780953576038,0.7089993024099532,-0.09865281732039695,0.4661748994017203,0.24036727064078903,1.6723488261777124,0.2878936059727659,0.3506272510924578,0.13003662070944394,-0.051159584880345485,-0.42366705681028,0.04904863883611636,-0.04939623224698104,-0.09374808388111894,0.01949314881564626,-0.24187111257227212,-0.12717800289685902,-0.19964955207246618,0.1659130603958913,0.26325689443348654,-0.054887090502386396,0.34831757538424357,0.19360112223304723,-0.06653959632568247,0.11278449963119803,0.11901603959448247,0.025696483525175628,0.03921883915867304
3768,0.21,0.36666666666666664,348.5,3.0,4.0,Entire home/apt,3,80.0,119,8,43.5625,0.14946613274397802,-0.4783989670451852,0.021001812520477055,-0.11167565325996451,0.14788565889003863,-0.0011370233140807367,0.2701595230908042,0.14081096286697817,0.08411314873943876,-0.343569921445317,0.04131297258608032,-0.07057127905614033,-0.3749481588664937,0.657295945643899,-0.042210390213311993,-0.15124863678147885,-0.1363514199285833,0.006144440880089295,-0.2211953999367735,-0.15305109131835498,-0.13358884939894544,0.20532759268262962,-0.0018196725424747717,0.3022476004324643,0.20880926906202682,-0.12545003372624106,0.1113312045190162,0.07935085524428691,-0.11506018027382171,-0.025216861669327097
3769,1.0,0.6,577.5,4.0,5.0,Entire home/apt,3,100.0,119,8,72.1875,0.14946613274397802,-0.4783989670451852,0.021001812520477055,-0.11167565325996451,0.14788565889003863,-0.0011370233140807367,0.2701595230908042,0.14081096286697817,0.08411314873943876,-0.343569921445317,0.00203674921460982,-0.07530283776574413,-0.4110462424892715,0.5819949510774565,-0.07408287090731352,0.05543617954364955,-0.18590727257876863,-0.10004031404329701,-0.1782165565682339,-0.0913200660571254,0.11064192102201152,0.05537682041474046,0.18568059564432016,0.28587585311667163,0.14907513435583813,-0.1470709330515849,0.2104188381796782,0.1139415602829808,0.007248628898413006,-0.11799214180538375
3770,1.7,0.32499999999999996,50.0,1.0,1.0,Private room,30,89.0,14,1,50.0,0.04856211468323053,0.43122919063402637,0.06283670259836784,-0.051921453789387347,0.3711380070461609,0.03252525197071826,-0.38994534194501856,0.0879407730036831,-0.468193847700566,0.6326545672858197,-0.44461215659359693,0.013591398892887702,0.3597695091150663,-0.10629468855876185,0.18335675349650934,-0.13398690806785113,-0.07852119781746356,-0.11656279776681511,-0.06905280889248065,0.022456776095089614,0.006228162228485249,0.002215445113991698,0.015412791562282535,-0.09523009215816096,0.07753067110800992,0.04854737472507085,-0.06832865606172857,0.07817838355604041,0.1086274196649949,-0.17544981456597183
3771,4.33,0.8666666666666666,174.5,1.0,2.0,Entire home/apt,3,99.0,2,3,58.166666666666664,0.14946613274397802,-0.4783989670451852,0.021001812520477055,-0.11167565325996451,0.14788565889003863,-0.0011370233140807367,0.2701595230908042,0.14081096286697817,0.08411314873943876,-0.343569921445317,0.30293393423082987,-0.24861936588047984,0.019108606462849797,-0.09852048107059024,-0.05348112998921512,0.04084344638528586,-0.03396592627603308,0.11223134869916619,0.21488429505258944,0.035008787930036846,-0.05335713981777073,-0.15429932246706562,0.009076524901748803,-0.032447718494003734,0.10453659013138779,0.25220773696793986,0.10037283292180157,0.2586653247464975,-0.14312782561781207,-0.0015551495217812424
3772,0.11,0.0,2900.0,5.0,5.0,Entire home/apt,31,100.0,6,8,362.5,0.14946613274397802,-0.4783989670451852,0.021001812520477055,-0.11167565325996451,0.14788565889003863,-0.0011370233140807367,0.2701595230908042,0.14081096286697817,0.08411314873943876,-0.343569921445317,-0.4245128552077693,0.008613936410048368,0.15948726428794205,-0.0342625538249252,-0.25237386991885663,-0.2798637962832119,0.07176597415004556,0.37948472001422234,0.08535373263266641,-0.003854299197904005,-0.1718293936976915,0.05741817987004649,0.016887510056288996,0.01816224021281821,-0.12501146419580622,-0.23074015974957274,0.179010644261918,-0.04645937926942297,-0.2148733763890481,0.12048222606600767
3773,4.29,0.7666666666666667,131.25,1.0,2.0,Entire home/apt,2,100.0,1,3,43.75,0.14946613274397802,-0.4783989670451852,0.021001812520477055,-0.11167565325996451,0.14788565889003863,-0.0011370233140807367,0.2701595230908042,0.14081096286697817,0.08411314873943876,-0.343569921445317,-0.02817131486333141,-0.176993471410729,-0.2181163132618728,-0.21292944806714872,0.04286728100052994,0.005704094454374416,-0.12639722273269255,-0.05979818434196117,-0.14619465553414712,-0.05396072104528968,-0.015686114361683174,0.037756192582789144,-0.12247384757291398,-0.13143906765576271,-0.1197743803662161,-0.0868593977695898,0.07583323655749091,-0.13188081481924702,0.08417838760352397,0.17016804206033065
