,demand
3244,0.13333333333333333
3475,0.39166666666666666
3034,0.4
2750,0.15
911,0.2
598,0.8
3427,0.5333333333333333
2103,0.25833333333333336
2277,0.18333333333333335
2251,0.19999999999999998
2620,0.8
1412,0.016666666666666666
2240,0.48333333333333334
3310,0.7166666666666667
538,0.39166666666666666
80,0.6333333333333333
1729,0.3166666666666667
426,0.008333333333333333
1850,0.45
93,0.55
351,0.6666666666666666
1258,0.4416666666666667
2968,0.44166666666666665
1745,0.6666666666666667
1873,0.725
2767,0.7666666666666666
3085,0.03333333333333333
2877,0.6166666666666667
3758,0.8
2229,0.5666666666666667
298,0.8083333333333333
3423,0.30833333333333335
3507,0.30000000000000004
4224,0.07500000000000001
1022,0.3833333333333333
897,0.22499999999999998
2636,0.8083333333333333
3363,0.025
2547,0.1
731,0.3416666666666666
3434,0.4
720,0.45
1183,0.8250000000000001
3299,0.275
783,0.31666666666666665
2374,0.03333333333333333
1281,0.30833333333333335
2483,0.8
1522,0.775
3430,0.3666666666666667
3918,0.42499999999999993
1784,0.4
2969,0.8666666666666667
3204,0.4583333333333333
555,0.5666666666666667
3519,0.6500000000000001
3210,0.6
3391,0.5416666666666667
4143,0.7250000000000001
3768,0.31666666666666665
2934,0.8250000000000001
3920,0.6333333333333333
3492,0.21666666666666667
1775,0.025
69,0.43333333333333335
589,0.30000000000000004
889,0.25
3048,0.15000000000000002
3883,0.5333333333333334
1543,0.6416666666666666
332,0.3583333333333333
561,0.8666666666666667
239,0.48333333333333334
3705,0.625
1457,0.8083333333333333
2095,0.30833333333333335
2752,0.6583333333333333
3812,0.6
3808,0.041666666666666664
3638,0.04166666666666667
643,0.49166666666666664
1391,0.175
1657,0.2833333333333334
2939,0.6333333333333334
3646,0.41666666666666663
2478,0.03333333333333333
1983,0.3333333333333333
3930,0.6
3994,0.45833333333333337
4040,0.5583333333333333
14,0.09166666666666666
1941,0.95
3980,0.7333333333333334
705,0.5499999999999999
360,0.425
4006,0.8833333333333333
4130,0.25833333333333336
3237,0.21666666666666667
2732,0.4
4126,0.575
3309,0.30833333333333335
2011,0.525
3530,0.44166666666666665
490,0.5
1859,0.41666666666666663
1572,0.05
1056,0.5333333333333333
4043,0.06666666666666667
1691,0.6916666666666667
3670,0.325
2843,0.18333333333333332
2344,0.4083333333333333
506,0.5916666666666667
393,0.7583333333333334
4234,0.5166666666666666
3982,0.6416666666666666
3797,0.475
3860,0.5416666666666666
2416,0.7083333333333334
2227,0.32500000000000007
2884,0.6333333333333333
2468,0.19166666666666668
3622,0.2916666666666667
1001,0.05
4321,0.23333333333333334
1263,0.45833333333333337
2586,0.875
433,0.6333333333333333
4257,0.22499999999999998
1108,0.3416666666666667
2596,0.008333333333333333
888,0.6833333333333333
1344,0.016666666666666666
4304,0.6083333333333334
2226,0.5583333333333333
3652,0.7250000000000001
2567,0.05
2727,0.8583333333333333
3902,0.4666666666666667
1675,0.025
4244,0.7833333333333333
1149,0.6499999999999999
2191,0.75
3531,0.33333333333333337
744,0.6583333333333333
2927,0.058333333333333334
3291,0.7916666666666666
330,0.24166666666666667
3978,0.575
1738,0.7083333333333334
2807,0.7249999999999999
4217,0.575
949,0.8666666666666667
2196,0.25833333333333336
1432,0.6583333333333333
